game_pk,home_team,away_team,home_prob,away_prob,predicted_edge,predicted_home_runs,predicted_away_runs,timestamp
822800,Toronto Blue Jays,Houston Astros,0.5041152263374485,0.49588477366255146,0.008230452674897082,1.1554479566714013,1.2586955757699692,BACKTEST_INIT
822801,Toronto Blue Jays,New York Yankees,0.5040650406504066,0.4959349593495934,0.008130081300813163,1.4196292379942748,3.6903893656245605,BACKTEST_INIT
822802,Toronto Blue Jays,New York Yankees,0.5707762557077626,0.4292237442922374,0.14155251141552516,7.132998329365979,4.726599407575227,BACKTEST_INIT
822803,Toronto Blue Jays,New York Yankees,0.4999999999999999,0.5000000000000001,2.220446049250313e-16,3.7879832905910087,4.85402360281816,BACKTEST_INIT
822804,Toronto Blue Jays,Philadelphia Phillies,0.49999999999999994,0.5,5.551115123125783e-17,2.5129093563049825,3.0908844326559333,BACKTEST_INIT
822805,Toronto Blue Jays,Philadelphia Phillies,0.49671772428884037,0.5032822757111597,0.00656455142231932,2.3557271993488484,5.318731186094537,BACKTEST_INIT
822806,Toronto Blue Jays,Philadelphia Phillies,0.5694444444444445,0.43055555555555547,0.13888888888888906,7.342218036654086,5.63334476680563,BACKTEST_INIT
822807,Toronto Blue Jays,Baltimore Orioles,0.574766355140187,0.42523364485981296,0.14953271028037407,4.701425955475294,3.5442130276724555,BACKTEST_INIT
822808,Toronto Blue Jays,Baltimore Orioles,0.25,0.75,0.5,2.931174938306934,9.104673832771566,BACKTEST_INIT
822809,Toronto Blue Jays,Miami Marlins,0.6666666666666666,0.33333333333333337,0.33333333333333326,7.7476102112703416,1.238198329887317,BACKTEST_INIT
822810,Toronto Blue Jays,Baltimore Orioles,0.4930232558139534,0.5069767441860467,0.013953488372093259,2.8874732928596827,4.999705020653938,BACKTEST_INIT
822811,Toronto Blue Jays,Miami Marlins,0.25,0.75,0.5,2.6260811719608133,7.842547573282507,BACKTEST_INIT
822812,Toronto Blue Jays,Miami Marlins,0.5490196078431372,0.4509803921568628,0.09803921568627438,2.77984122031079,2.4279019103046093,BACKTEST_INIT
822813,Toronto Blue Jays,Pittsburgh Pirates,0.5765306122448979,0.4234693877551021,0.15306122448979576,4.549765900628927,2.3073573736420627,BACKTEST_INIT
822814,Toronto Blue Jays,Pittsburgh Pirates,0.5765306122448979,0.4234693877551021,0.15306122448979576,4.351156018607319,2.340558287869518,BACKTEST_INIT
822815,Toronto Blue Jays,Tampa Bay Rays,0.49310344827586217,0.5068965517241378,0.013793103448275668,4.949337577226026,7.889303986335543,BACKTEST_INIT
822816,Toronto Blue Jays,Pittsburgh Pirates,0.4894894894894894,0.5105105105105106,0.021021021021021158,1.4901310448062925,2.3542594584538423,BACKTEST_INIT
822817,Toronto Blue Jays,Tampa Bay Rays,0.25,0.75,0.5,2.8199221179055343,7.592314567133501,BACKTEST_INIT
822818,Toronto Blue Jays,Tampa Bay Rays,0.49642857142857144,0.5035714285714286,0.0071428571428571175,1.0053239372020024,2.8376445854806938,BACKTEST_INIT
822819,Toronto Blue Jays,Los Angeles Angels,0.6666666666666666,0.33333333333333337,0.33333333333333326,8.13942144101802,1.5622059358387879,BACKTEST_INIT
822820,Toronto Blue Jays,Los Angeles Angels,0.5737704918032787,0.42622950819672134,0.14754098360655732,2.63570050924418,1.6464565857079956,BACKTEST_INIT
822821,Toronto Blue Jays,Boston Red Sox,0.5774058577405857,0.4225941422594143,0.15481171548117145,2.4586143129552065,1.2930835673752177,BACKTEST_INIT
